dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, classifier, balancing, Feature Selection,TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.20430107526881722, IBK, BEST_FIRST, NO_SAMPLING, 82.0, 146.0, 224.0, 13.0, 0.9451476793248945, 0.6054054054054054, 0.73524893314367, 0.30821052631578955
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.20430107526881722, IBK, BEST_FIRST, OVER_SAMPLING, 89.0, 233.0, 137.0, 6.0, 0.958041958041958, 0.37027027027027026, 0.6535561877667141, 0.1626671689583726
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.20430107526881722, IBK, BEST_FIRST, UNDER_SAMPLING, 85.0, 167.0, 203.0, 10.0, 0.9530516431924883, 0.5486486486486486, 0.7194594594594594, 0.27468605419695974
BOOKKEEPER, 1, 0.39453125, 0.40264026402640263, 0.20430107526881722, IBK, BEST_FIRST, SMOTE, 83.0, 153.0, 217.0, 12.0, 0.9475982532751092, 0.5864864864864865, 0.7321337126600285, 0.2965849186339674
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.8118659118659118, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.5, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.7812409812409813, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.8044289044289045, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.8125985125985126, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 165.0, 273.0, 0.0, 0.0, NaN, 0.0, 0.502963702963703, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.7947385947385948, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, NAIVE_BAYES, BEST_FIRST, SMOTE, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.8013875013875014, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 6.0, 2.0, 271.0, 159.0, 0.6302325581395349, 0.9926739926739927, 0.8421134421134421, 0.03576995651817215
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 0.0, 0.0, 273.0, 165.0, 0.6232876712328768, 1.0, 0.5156954156954157, 0.0
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 6.0, 2.0, 271.0, 159.0, 0.6302325581395349, 0.9926739926739927, 0.786002886002886, 0.03576995651817215
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 6.0, 2.0, 271.0, 159.0, 0.6302325581395349, 0.9926739926739927, 0.8298368298368298, 0.03576995651817215
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 35.0, 6.0, 267.0, 130.0, 0.672544080604534, 0.978021978021978, 0.8249195249195249, 0.22334350309004145
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 2.0, 2.0, 271.0, 163.0, 0.6244239631336406, 0.9926739926739927, 0.502963702963703, 0.005942064867541631
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 49.0, 6.0, 267.0, 116.0, 0.6971279373368147, 0.978021978021978, 0.8014319014319015, 0.3167625623321824
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, RANDOM_FOREST, BEST_FIRST, SMOTE, 81.0, 9.0, 264.0, 84.0, 0.7586206896551724, 0.967032967032967, 0.831979131979132, 0.5031833150384194
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 84.0, 12.0, 261.0, 81.0, 0.7631578947368421, 0.9560439560439561, 0.6843156843156843, 0.5070790677412329
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 1.0, 0.0, 273.0, 164.0, 0.6247139588100686, 1.0, 0.4993894993894994, 0.007543728757357321
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 90.0, 20.0, 253.0, 75.0, 0.7713414634146342, 0.9267399267399268, 0.7011988011988012, 0.5055258467023171
