Dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, Classifier, Feature Selection, Balancing, TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 1762.0, 52.0, 5.0, 353.0, 0.013966480446927373, 0.08771929824561403, 0.752113143378541, -0.022185347351981674
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 1974.0, 55.0, 2.0, 141.0, 0.013986013986013986, 0.03508771929824561, 0.7432292314711128, -0.018211041430478383
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 381.0, 4.0, 53.0, 1734.0, 0.02965864577504197, 0.9298245614035088, 0.7681514661357887, 0.006974707019689854
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 1645.0, 19.0, 38.0, 470.0, 0.07480314960629922, 0.6666666666666666, 0.7586993488449255, 0.09164708176397532
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, BEST_FIRST, SMOTE, 1964.0, 52.0, 5.0, 151.0, 0.03205128205128205, 0.08771929824561403, 0.7659118244784539, 0.008847886488090899
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 2113.0, 20.0, 37.0, 2.0, 0.9487179487179487, 0.6491228070175439, 0.9699970967608146, 0.7658404633794941
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 1654.0, 21.0, 36.0, 461.0, 0.07243460764587525, 0.631578947368421, 0.7304259466633487, 0.08697312995473655
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 1738.0, 3.0, 54.0, 377.0, 0.12529002320185614, 0.9473684210526315, 0.953967068972668, 0.18346026224720557
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 2111.0, 20.0, 37.0, 4.0, 0.9024390243902439, 0.6491228070175439, 0.9792045124631911, 0.7496037121364965
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 2111.0, 27.0, 30.0, 4.0, 0.8823529411764706, 0.5263157894736842, 0.9547136161917796, 0.6525266286846653
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 2111.0, 25.0, 32.0, 4.0, 0.8888888888888888, 0.5614035087719298, 0.7755962009041516, 0.6817051725183432
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 126.0, 1.0, 56.0, 1989.0, 0.027383863080684596, 0.9824561403508771, 0.9236033345775787, 0.0023391116361455764
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, RANDOM_FOREST, BEST_FIRST, SMOTE, 2109.0, 27.0, 30.0, 6.0, 0.8333333333333334, 0.5263157894736842, 0.9469329351748165, 0.6378024376932871
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 1594.0, 5.0, 52.0, 521.0, 0.09075043630017451, 0.9122807017543859, 0.8266807681141388, 0.12322434188411995
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 121.0, 9.0, 48.0, 1994.0, 0.023506366307541625, 0.8421052631578947, 0.5483596698602298, -0.005611339176744711
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 1345.0, 3.0, 54.0, 770.0, 0.06553398058252427, 0.9473684210526315, 0.7776533532412592, 0.07729188237388948
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, NO_FEATURES_SELECTION, SMOTE, 1594.0, 5.0, 52.0, 521.0, 0.09075043630017451, 0.9122807017543859, 0.8310024470158849, 0.12322434188411995
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, BEST_FIRST, NO_SAMPLING, 2092.0, 28.0, 29.0, 23.0, 0.5576923076923077, 0.5087719298245614, 0.848367964829331, 0.5200935794125289
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, BEST_FIRST, OVER_SAMPLING, 1430.0, 18.0, 39.0, 685.0, 0.05386740331491713, 0.6842105263157895, 0.6523536974824768, 0.053835800807536874
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, BEST_FIRST, UNDER_SAMPLING, 1516.0, 4.0, 53.0, 599.0, 0.08128834355828221, 0.9298245614035088, 0.8347185931732404, 0.10637409423998018
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, IBK, BEST_FIRST, SMOTE, 2082.0, 28.0, 29.0, 33.0, 0.46774193548387094, 0.5087719298245614, 0.8467877732155448, 0.47298329355608715
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 2114.0, 59.0, 1.0, 25.0, 0.038461538461538464, 0.016666666666666666, 0.926866136824061, 0.006871189393206266
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 2052.0, 16.0, 44.0, 87.0, 0.33587786259541985, 0.7333333333333333, 0.8432561944834035, 0.4397646238210784
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 2059.0, 4.0, 56.0, 80.0, 0.4117647058823529, 0.9333333333333333, 0.9479507558048933, 0.554562027953815
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 2134.0, 42.0, 18.0, 5.0, 0.782608695652174, 0.3, 0.9400031167212093, 0.4250404713029276
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 2139.0, 60.0, 0.0, 0.0, NaN, 0.0, 0.9414562879850398, 0.0
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 2132.0, 27.0, 33.0, 7.0, 0.825, 0.55, 0.7804347826086957, 0.6524128312412821
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 2124.0, 5.0, 55.0, 15.0, 0.7857142857142857, 0.9166666666666666, 0.9601605111422783, 0.8414963779868102
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, NAIVE_BAYES, BEST_FIRST, SMOTE, 2138.0, 54.0, 6.0, 1.0, 0.8571428571428571, 0.1, 0.9406615240766714, 0.17439741148041157
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 2137.0, 18.0, 42.0, 2.0, 0.9545454545454546, 0.7, 0.9530037400654512, 0.8031474916747245
OPENJPA, 5, 0.7632428940568475, 0.027789533079418817, 0.027285129604365622, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 2024.0, 16.0, 44.0, 115.0, 0.27672955974842767, 0.7333333333333333, 0.8486208508648901, 0.37714945481199025
