Version,Filename,LOC_added,MAX_LOC_added,AVG_LOC_addded,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,19,9,6.3333335,11,7,3.6666667,14,6,4.666667,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,5,4,2.5,4,4,2.0,27,14,13.5,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java,345,336,115.00001,339,336,113.0,23,10,7.666667,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,0,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,29,15,7.25,-7,6,-1.75,10,5,2.5,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,5,5,5.0,3,3,3.0,4,4,4.0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,212,183,53.000004,187,183,46.75,28,14,7.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,128,92,16.0,-505,21,-63.125008,60,17,7.5000005,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,841,712,120.142845,788,712,112.57143,47,24,6.714286,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,9,6,4.5,6,4,3.0,38,24,19.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,91,91,91.0,91,91,91.0,8,8,8.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,49,26,16.333334,46,26,15.333334,16,13,5.3333335,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,77,77,77.0,77,77,77.0,5,5,5.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,11,11,11.0,11,11,11.0,13,13,13.0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,126,75,31.5,51,20,12.75,19,10,4.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,17,15,5.666667,16,15,5.3333335,22,13,7.3333335,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,26,25,13.0,-7,0,-3.5,28,24,14.0,Yes
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,227,177,75.66667,215,177,71.66667,9,5,3.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/ClientUtil.java,30,30,30.0,30,30,30.0,4,4,4.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1,1,1.0,0,0,0.0,24,24,24.0,No
